Filename,SourceFile,Phi (Pitch),Kappa (Yaw),Omega (Roll),Latitude,Longitude,Altitude
MIX_2050.JPG,/mnt/d/DCIM/107MEDIA/MIX_2050.JPG,,,,"40 deg 31' 25.53"" N","74 deg 27' 36.13"" W",50.9 m Above Sea Level
IRX_2050.JPG,/mnt/d/DCIM/107MEDIA/IRX_2050.JPG,,,,"40 deg 31' 25.53"" N","74 deg 27' 36.13"" W",50.9 m Above Sea Level
MAX_2050.JPG,/mnt/d/DCIM/107MEDIA/MAX_2050.JPG,,,,"40 deg 31' 25.53"" N","74 deg 27' 36.16"" W",50.9 m Above Sea Level
MIX_2051.JPG,/mnt/d/DCIM/107MEDIA/MIX_2051.JPG,,,,"40 deg 31' 25.53"" N","74 deg 27' 36.16"" W",50.9 m Above Sea Level
IRX_2051.JPG,/mnt/d/DCIM/107MEDIA/IRX_2051.JPG,,,,"40 deg 31' 25.53"" N","74 deg 27' 36.16"" W",50.9 m Above Sea Level
MAX_2051.JPG,/mnt/d/DCIM/107MEDIA/MAX_2051.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.16"" W",50.9 m Above Sea Level
MIX_2052.JPG,/mnt/d/DCIM/107MEDIA/MIX_2052.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.16"" W",50.9 m Above Sea Level
IRX_2052.JPG,/mnt/d/DCIM/107MEDIA/IRX_2052.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.16"" W",50.9 m Above Sea Level
MAX_2052.JPG,/mnt/d/DCIM/107MEDIA/MAX_2052.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.19"" W",50.9 m Above Sea Level
MIX_2053.JPG,/mnt/d/DCIM/107MEDIA/MIX_2053.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.19"" W",50.9 m Above Sea Level
IRX_2053.JPG,/mnt/d/DCIM/107MEDIA/IRX_2053.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.19"" W",50.9 m Above Sea Level
MAX_2053.JPG,/mnt/d/DCIM/107MEDIA/MAX_2053.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.22"" W",50.9 m Above Sea Level
MIX_2054.JPG,/mnt/d/DCIM/107MEDIA/MIX_2054.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.22"" W",50.9 m Above Sea Level
IRX_2054.JPG,/mnt/d/DCIM/107MEDIA/IRX_2054.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.22"" W",50.9 m Above Sea Level
MAX_2054.JPG,/mnt/d/DCIM/107MEDIA/MAX_2054.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.22"" W",50.9 m Above Sea Level
MIX_2055.JPG,/mnt/d/DCIM/107MEDIA/MIX_2055.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.22"" W",50.9 m Above Sea Level
IRX_2055.JPG,/mnt/d/DCIM/107MEDIA/IRX_2055.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.22"" W",50.9 m Above Sea Level
MAX_2055.JPG,/mnt/d/DCIM/107MEDIA/MAX_2055.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.22"" W",50.9 m Above Sea Level
